freq,Z,pressure_mag,pressure_phase,flow_mag,flow_phase
1.0,(1+144.0357972358548j),1.0,2.043016390906393,144.03926855329513,0.47916267110601773
2.0,(1+288.7877917156231j),1.0,1.7527131943994898,288.7895230855616,0.18537960402155962
3.0,(1+433.38063125229957j),1.0,2.951306747099303,433.3817849709903,1.3828178566620388
4.0,(1+577.933682053203j),1.0,4.4298843994139245,577.9345472037234,2.8608183732280303
5.0,(1+722.4708173597974j),1.0,5.140906154041247,722.4715094289419,3.5714939653144335
6.0,(1+866.999994919237j),1.0,4.215334235963766,867.0005716203174,2.6456913112016434
7.0,(1+1011.5246251945882j),1.0,5.958777863989539,1011.5251194978067,4.388970143551138
8.0,(1+1156.0464134173844j),1.0,1.3562990603082108,1156.0468459258898,-0.2136322495297751
9.0,(1+1300.566306938477j),1.0,5.8258408439280345,1300.5666913863315,4.255813412803891
10.0,(1+1445.0848741683774j),1.0,3.0885762969395287,1445.0852201687744,1.518471970910991
11.0,(1+1589.6024768228647j),1.0,5.536376861360039,1589.602791366883,3.9662096225809598
12.0,(1+1734.1193560457928j),1.0,1.660205440371377,1734.1196443765566,0.08998577508808148
13.0,(1+1878.635678782906j),1.0,5.202537537655676,1878.6359449334802,3.6322735119965692
14.0,(1+2023.1515642811642j),1.0,1.3169379028821206,2023.1518114203197,-0.2533641456114277
15.0,(1+2167.6670999883386j),1.0,5.748347270042673,2167.6673306510515,4.1780122686648875
16.0,(1+2312.182351490258j),1.0,3.58134685368797,2312.182567736168,2.0109830187062756
17.0,(1+2456.6973689407905j),1.0,4.6529686667076255,2456.6975724660538,3.0825793904340557
18.0,(1+2601.2121913485j),1.0,5.224953001269521,2601.212383566568,3.654541110605618
19.0,(1+2745.7268495096228j),1.0,2.014651693022126,2745.7270316107606,0.44421956849882993
20.0,(1+2890.241368061146j),1.0,4.119970357021082,2890.2415410570734,2.549520022076952
21.0,(1+3034.7557669472985j),1.0,5.105186962925354,3034.7559317051982,3.534720151926983
22.0,(1+3179.270062486085j),1.0,6.219108561082804,3179.270219754885,4.648626771885333
23.0,(1+3323.7842681575976j),1.0,5.32436080014394,3323.784418588537,3.75386533522489
24.0,(1+3468.298395195245j),1.0,3.9092598264652816,3468.2985393581553,2.338751825488508
25.0,(1+3612.8124530350915j),1.0,1.843382989235121,3612.8125914314232,0.27286345510174814
26.0,(1+3757.326449661498j),1.0,0.005248900105827194,3757.326582734841,-1.5652812800047753
27.0,(1+3901.840391875957j),1.0,5.534171268293648,3901.840520020612,3.963631230807814
28.0,(1+4046.3542855083224j),1.0,0.01782058708043574,4046.3544090763435,-1.5527286036732044
29.0,(1+4190.868135584326j),1.0,1.8908150007039064,4190.8682548913475,0.32025728794998387
30.0,(1+4335.3819464596045j),1.0,3.2386350177350254,4335.382061789695,1.6680693511206193
31.0,(1+4479.895721927778j),1.0,0.038089636539227194,4479.895833537517,-1.5324834707779267
32.0,(1+4624.40946530826j),1.0,1.4395522577416566,4624.409573430173,-0.1310278252296957
33.0,(1+4768.923179518116j),1.0,4.010100223630881,4768.923284363586,2.4395135877762035
34.0,(1+4913.436867131222j),1.0,1.9598577334042082,4913.436968892985,0.3892649301333202
35.0,(1+5057.950530427302j),1.0,0.7947874961481569,5057.9506292815695,-0.7758111221122346
36.0,(1+5202.464171432773j),1.0,1.1681699133435532,5202.464267541074,-0.40243419684883897
37.0,(1+5346.977791954982j),1.0,0.5348447767035283,5346.97788546575,-1.0357645285574757
38.0,(1+5491.49139361103j),1.0,5.513830613746351,5491.491484660976,3.943216386843318
39.0,(1+5636.004977852159j),1.0,0.20179538093988963,5636.005066567481,-1.3688235152115928
40.0,(1+5780.518545984488j),1.0,5.763115744471668,5780.518632481918,4.1924924125356355
