(-260716,0)
(28349.5,2.52352e+06)
(278804,4.5812e+07)
(-65489.1,2.64407e+07)
(-3190.72,6.25373e+07)
(9160.17,6.01149e+06)
(-166523,4.53284e+07)
(206019,9.82694e+07)
(257143,2.08612e+08)
(237193,3.20214e+08)
(42512.1,2.96642e+07)
(-262075,2.08949e+08)
(92396.9,3.94954e+07)
(238608,2.054e+08)
(35451.6,9.91155e+06)
(344122,5.07389e+08)
(33302.5,3.67367e+07)
(-214525,4.62507e+08)
(-233530,2.66542e+08)
(14573.9,3.52757e+07)
(-191505,2.23891e+08)
(-136871,1.17589e+08)
(154058,4.00044e+08)
(-188900,3.56039e+08)
(-161293,7.02511e+08)
(-191335,3.00232e+08)
(-44674.4,6.01661e+08)
(40990.4,1.39806e+07)
(-62185,3.35738e+07)
(-126995,1.31847e+08)
(61839.1,9.39667e+07)
(363243,1.11572e+09)
(233787,9.82467e+08)
(396501,1.86886e+09)
(67744.7,5.70006e+08)
(-104766,3.24401e+08)
(27626.8,5.07964e+07)
(134847,1.23408e+09)
(-98506,2.02907e+09)
(162520,2.78449e+08)
(-286122,9.7189e+08)
(189004,1.56871e+09)
(72472.6,1.69129e+08)
(-96263,1.09854e+08)
(78980.4,2.94514e+08)
(4016.22,4.18051e+07)
(-53624.1,3.49436e+07)
(48277.4,4.67379e+08)
(-193001,9.12373e+08)
(-66430,2.35514e+08)
(84918.5,1.22478e+08)
(42296.7,3.40681e+07)
(23761.7,1.40414e+07)
(15456.4,7.56546e+06)
(10792.2,4.63657e+06)
(7854.78,3.07318e+06)
(5868.87,2.14943e+06)
(4459.46,1.56425e+06)
(3423.15,1.17406e+06)
(2640.37,903383)
(2036.5,709580)
(1562.7,567158)
(1185.79,460181)
(882.546,378311)
(636.257,314632)
(434.657,264391)
(268.562,224249)
(130.987,191811)
(16.5374,165331)
(-78.9985,143513)
(-158.951,125384)
(-225.979,110202)
(-282.222,97398.3)
(-329.42,86527.5)
(-368.994,77241)
(-402.115,69262.2)
(-429.755,62369.9)
(-452.722,56386.1)
(-471.693,51166.4)
(-487.239,46592.6)
(-499.841,42568)
(-509.908,39012.4)
(-517.79,35859.2)
(-523.783,33052.7)
(-528.144,30546.3)
(-531.092,28300.6)
(-532.817,26282.1)
(-533.482,24462.6)
(-533.229,22817.7)
(-532.183,21326.6)
(-530.45,19971.5)
